,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
6415,Avensis Touring Sports 1.8 Comfort (T27),108.0,Toyota,28090,,,13800,12350,,,
6416,Avensis Touring Sports 1.6 D-4D,82.0,Toyota,29290,16250,14500,12200,,,,
6417,Avensis Combi 2.0 D-4D (T27),91.0,Toyota,26940,,,12350,11000,9725,8425,
6418,Avensis Combi 2.0 D-4D (T27),93.0,Toyota,25950,,,,,,8200,7325
6419,Avensis Touring Sports 2.0 D-4D Comfort (T27),105.0,Toyota,32890,16950,15150,14650,,,,
6420,Avensis Combi 2.2 D-4D Sol (T27),110.0,Toyota,29300,,,,,,9025,8075
6421,Avensis Combi 2.2 D-4D Life (T27),110.0,Toyota,30450,,,,11950,10550,9125,
6422,Avensis Combi 2.2 D-CAT Executive (T27),130.0,Toyota,32900,,,,,,10300,9200
6423,Avensis Combi 2.2 D-CAT Executive (T27),130.0,Toyota,36740,,,16850,15050,12700,11000,
6424,Aygo 1.0 (AB1),50.0,Toyota,9700,,,,4475,4000,3575,
6425,Aygo 1.0 Eco x-play (AB1),51.0,Toyota,11525,,7225,6450,5750,,,
6426,Aygo 1.0 x (AB1),51.0,Toyota,9950,,6225,5575,4975,,,
6427,C-HR 1.2 T (X10),85.0,Toyota,21990,16600,14800,,,,,
6428,C-HR 1.8 Hybrid Flow (X10),90.0,Toyota,27790,21100,18850,,,,,
6429,Corolla 1.33 Cool (E17),73.0,Toyota,18690,,,10950,9950,,,
