Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Gebrauchtwagenpreise Herbst/Winter 2018/2019,,,,,,,,,,,,
Alle Marken,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,
Fahrzeug/Modell (Generation**),Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,2011
Audi,,,,,,,,,,,,
A3 Sportback 2.0 TDI (8V),,5,110,(150),IV,30550,18050,16450,,,,
A3 Sportback 2.0 TDI quattro (8V),,5,110,(150),IV,31750,19050,17350,,,,
A3 Sportback 2.0 TDI Attraction (8V),,5,135,(184),IV,30700,,17750,16250,15200,14100,
A3 Sportback 2.0 TDI Attraction quattro (8V),,5,135,(184),IV,34550,,19750,18100,16900,15700,
A3 Sportback 2.0 TDI sport quattro S tronic (8V),,5,135,(184),IV,38300,24950,21850,,,,
A3 Sportback g-tron Attraction (8V),,5,81,(110),III,26800,,16200,14850,13750,,
A3 Sportback g-tron (8V),,5,81,(110),III,27550,19450,17350,,,,
A3 Sportback e-tron Attraction S tronic (8V),,5,150,(204),III,38400,,23050,21100,19450,,
A3 Sportback e-tron S tronic (8V),,5,150,(204),III,37900,26300,23500,,,,
A3 Limousine 1.0 TFSI (8V),,4,85,(115),III,26250,16600,15150,,,,
A3 Limousine 1.4 TFSI Attraction (8V),,4,92,(125),III,25500,,15850,14550,13550,12700,
A3 Limousine 1.4 TFSI cod Attraction (8V),,4,103,(140),III,25500,,,,13750,12800,
A3 Limousine 1.4 TFSI cod ultra Attraction (8V),,4,110,(150),III,32650,,20900,18700,16850,,
A3 Limousine 1.4 TFSI cod ultra (8V),,4,110,(150),III,26800,18600,16950,,,,
A3 Limousine 1.5 TFSI cod (8V),,4,110,(150),III,28200,18350,,,,,
