Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
Alhambra 2.0 TDI Ecomotive Reference (7N),5,85  (115),VI,31460,,,16450,14700,,,,,,
Alhambra 2.0 TDI Ecomotive Style Viva (7N),5,103  (140),VI,33290,,,,,,12700,11300,,,
Alhambra 2.0 TDI Start&Stop Style Viva Allrad (7N),5,103  (140),VI,35240,,,,,,13450,11950,,,
Alhambra 2.0 TDI Ecomotive Reference (7N),5,110  (150),VI,33560,20800,18950,16900,15750,,,,,,
Alhambra 2.0 TDI Start&Stop Style 4Drive (7N),5,110  (150),VI,37910,23550,21450,19150,17850,,,,,,
Alhambra 2.0 TDI Start&Stop Style Viva (7N),5,125  (170),VI,34790,,,,,,13400,12150,,,
Alhambra 2.0 TDI Start&Stop Style Salsa (7N),5,130  (177),VI,35090,,,,,,13500,12250,,,
Alhambra 2.0 TDI Start&Stop Style (7N),5,135  (184),VI,39690,24850,22200,20000,17700,,,,,,
Alhambra 2.0 TDI Start&Stop Style 4Drive DSG  (7N),5,135  (184),VI,41640,27550,24600,22200,,,,,,,
Altea 1.2 TSI Start&Stop Reference (5P),5,77  (105),IV,19190,,,,,,7350,6625,,,
Altea 1.4 TSI 4You (5P),5,92  (125),IV,20290,,,,10350,9250,,,,,
Altea 1.6 TDI Reference (5P),5,77  (105),V,21490,,,,,,6750,5800,,,
Altea Freetrack 2.0T FSI 4x4 (5P),5,155  (211),V,30990,,,,,,9100,8075,,,
Altea Freetrack 1.6 TDI DPF 4x2 (5P),5,77  (105),VI,25890,,,,,,7975,7075,,,
Altea XL 1.2 TSI Start&Stop Reference (5P),5,77  (105),IV,20130,,,,,,7725,6900,,,
Altea XL 1.6 TDI Reference (5P),5,66  (90),V,21190,,,,8750,7800,6900,5975,,,
Altea XL 1.6 TDI Reference (5P),5,77  (105),V,22190,,,,,,7200,6225,,,
Altea XL 2.0 TDI Salsa Allrad (5P),5,103  (140),V,25890,,,,,,8550,,,,
Arona 1.0 EcoTSI Reference (KJ),5,70  (95),IV,16290,11500,10300,,,,,,,,
Arona 1.0 TSI Reference (KJ),5,70  (95),IV,16790,11500,,,,,,,,,
Arona 1.0 EcoTSI Style (KJ),5,85  (115),IV,19620,14400,12850,,,,,,,,
Arona 1.0 TSI Style (KJ),5,85  (115),IV,20120,14400,,,,,,,,,
Arona 1.5 TSI Evo FR (KJ),5,110  (150),IV,22820,16450,14650,,,,,,,,
Arona 1.6 TDI Reference (KJ),5,70  (95),V,19860,12900,11500,,,,,,,,
Arona 1.6 TDI Style (KJ),5,85  (115),V,22245,15000,,,,,,,,,
Ateca 1.0 TSI Ecomotive Reference (5FP),5,85  (115),IV,20980,15600,14400,12850,,,,,,,
Ateca 1.0 TSI Reference (5FP),5,85  (115),IV,22100,15600,,,,,,,,,
Ateca 1.4 EcoTSI Style (5FP),5,110  (150),IV,26020,19850,18300,16400,,,,,,,
Ateca 1.4 EcoTSI Style 4Drive (5FP),5,110  (150),IV,29670,22600,19650,17600,,,,,,,
Ateca 2.0 TSI Xcellence 4Drive DSG  (5FP),5,140  (190),IV,33985,25800,24100,,,,,,,,
Ateca 1.6 TDI Ecomotive Reference (5FP),5,85  (115),V,24950,16500,15150,13600,,,,,,,
Ateca 1.6 TDI Reference (5FP),5,85  (115),V,26210,16500,,,,,,,,,
Ateca 2.0 TDI Style 4Drive (5FP),5,110  (150),V,30130,20950,19250,17200,,,,,,,
Ateca 2.0 TDI Xcellence 4Drive DSG  (5FP),5,140  (190),V,36820,25500,23450,20550,,,,,,,
Exeo 1.8 TSI Reference (3R),4,88  (120),V,22850,,,,,,8025,7025,,,
Exeo 1.8 TSI Style (3R),4,118  (160),V,26790,,,,,,8925,7800,,,
Exeo 2.0 TDI Ecomotive Reference (3R),4,88  (120),VI,26350,,,,,,7425,6475,,,
Exeo 2.0 TDI Reference (3R),4,88  (120),VI,25950,,,,,,7325,6375,,,
Exeo 2.0 TDI Ecomotive Reference (3R),4,105  (143),VI,27150,,,,,,7850,6850,,,
Exeo 2.0 TDI Reference (3R),4,105  (143),VI,26750,,,,,,7725,6750,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 133 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
SEAT,,,,,,,,,,,,,,
Exeo 2.0 TDI Style (3R),4,125  (170),VI,31550,,,,,,9525,8325,,,
Exeo ST 1.8 TSI Reference (3R),5,88  (120),V,23750,,,,,,8500,7425,,,
Exeo ST 1.8 TSI Style (3R),5,118  (160),V,27690,,,,,,8725,7625,,,
Exeo ST 2.0 TDI Ecomotive Reference (3R),5,88  (120),VI,27250,,,,,,7650,6700,,,
Exeo ST 2.0 TDI Reference (3R),5,88  (120),VI,26850,,,,,,7550,6600,,,
Exeo ST 2.0 TDI Ecomotive Reference (3R),5,105  (143),VI,28050,,,,,,7975,6975,,,
Exeo ST 2.0 TDI Reference (3R),5,105  (143),VI,27650,,,,,,7850,6875,,,
Exeo ST 2.0 TDI Style (3R),5,125  (170),VI,30390,,,,,,9375,8200,,,
Ibiza SC 1.2 12V Reference (6J),3,44  (60),IV,10990,,,,5425,4950,4475,3975,,,
Ibiza SC 1.2 12V Reference (6J),3,51  (70),IV,12580,,,,6200,5625,5075,4500,,,
Ibiza SC 1.4 16V Reference (6J),3,63  (85),IV,13380,,,,6350,5800,5300,4750,,,
Ibiza SC 1.2 TSI Start&Stop Sun (6J),3,77  (105),IV,16290,,,,7875,7100,,,,,
Ibiza SC 1.2 TSI Sun (6J),3,77  (105),IV,15890,,,,7675,6925,,,,,
Ibiza SC 1.4 TSI ACT FR (6J),3,103  (140),IV,19905,,,,9975,9025,8125,,,,
Ibiza SC 1.4 TSI FR DSG  (6J),3,110  (150),IV,20775,,,,10100,9175,8250,7250,,,
Ibiza SC 1.2 TDI Ecomotive Reference (6J),3,55  (75),V,15480,,,,6775,6125,5425,4700,,,
Ibiza SC 1.2 TDI Reference (6J),3,55  (75),V,14780,,,,6425,5775,5100,4475,,,
Ibiza SC 1.6 TDI Sun (6J),3,66  (90),V,17190,,,,7500,6750,,,,,
Ibiza SC 1.6 TDI Sun (6J),3,77  (105),V,17690,,,,7700,6925,,,,,
Ibiza SC 1.6 LPG Reference  (6J),3,60  (82),IV,15110,,,,7325,6650,5975,5325,,,
Ibiza 1.2 12V Reference (6J),5,44  (60),IV,11690,,,,5800,5275,4750,4250,,,
Ibiza 1.2 12V Reference (6J),5,51  (70),IV,13280,,,,6550,5925,5350,4750,,,
Ibiza 1.4 16V Reference (6J),5,63  (85),IV,14080,,,,6775,6150,5575,5000,,,
Ibiza 1.2 TSI Start&Stop Sun (6J),5,77  (105),IV,16990,,,,8200,7425,,,,,
Ibiza 1.2 TSI Sun (6J),5,77  (105),IV,16590,,,,8025,7250,,,,,
Ibiza 1.4 TSI ACT FR (6J),5,103  (140),IV,20685,,,,10350,9375,8425,,,,
Ibiza 1.4 TSI FR DSG  (6J),5,110  (150),IV,21395,,,,10400,9450,8500,7450,,,
Ibiza 1.2 TDI Ecomotive Reference (6J),5,55  (75),V,16180,,,,7075,6400,5675,4900,,,
Ibiza 1.2 TDI Reference (6J),5,55  (75),V,15480,,,,6775,6125,5425,4700,,,
Ibiza 1.6 TDI Sun (6J),5,66  (90),V,17890,,,,7700,6925,,,,,
Ibiza 1.6 TDI Sun (6J),5,77  (105),V,18390,,,,8000,7175,,,,,
Ibiza 2.0 TDI FR (6J),5,105  (143),V,21415,,,,9250,8300,7350,6450,,,
Ibiza 1.6 LPG Reference  (6J),5,60  (82),IV,15810,,,,7650,6975,6325,5650,,,
Ibiza ST 1.2 12V Reference (6J),5,44  (60),IV,12490,,,,6175,5625,5075,4525,,,
Ibiza ST 1.2 12V Reference (6J),5,51  (70),IV,14080,,,,6950,6300,5675,5050,,,
Ibiza ST 1.4 16V Reference (6J),5,63  (85),IV,14880,,,,7150,6500,5900,5275,,,
Ibiza ST 1.2 TSI Start&Stop Sun (6J),5,77  (105),IV,17790,,,,8600,7775,,,,,
Ibiza ST 1.2 TSI Sun (6J),5,77  (105),IV,17390,,,,8400,7575,,,,,
Ibiza ST 1.4 TSI ACT FR (6J),5,103  (140),IV,21325,,,,10700,9700,8725,,,,
Ibiza ST 1.4 TSI FR DSG  (6J),5,110  (150),IV,22195,,,,10800,9825,8825,7750,,,
Ibiza ST 1.2 TDI Ecomotive Reference (6J),5,55  (75),V,16980,,,,7400,6650,5850,5150,,,
Ibiza ST 1.2 TDI Reference (6J),5,55  (75),V,16280,,,,7075,6375,5625,4950,,,
Ibiza ST 1.6 TDI Sun (6J),5,66  (90),V,18690,,,,8050,7225,,,,,
Ibiza ST 1.6 TDI Sun (6J),5,77  (105),V,19190,,,,8275,7425,,,,,
Ibiza SC 1.0  (6P),3,55  (75),IV,11990,,7350,6575,5875,,,,,,
Ibiza SC 1.0 Start&Stop Reference (6P),3,55  (75),IV,13240,,8125,7250,6475,,,,,,
Ibiza SC 1.2 TSI Reference (6P),3,66  (90),IV,13990,,8250,7375,6575,,,,,,
Ibiza SC 1.0 EcoTSI Start&Stop Style (6P),3,70  (95),IV,15980,,9750,8725,7775,,,,,,
Ibiza SC 1.0 EcoTSI Start&Stop Style (6P),3,81  (110),IV,16730,,10150,9050,8075,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 134 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
,Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
SEAT,,,,,,,,,,,,,,
,Ibiza SC 1.4 TSI Start&Stop ACT FR (6P),3,110  (150),IV,20440,,12150,10850,9700,,,,,
,Ibiza SC 1.4 TDI Ecomotive Reference (6P),3,55  (75),V,15800,,8450,7450,6800,,,,,
,Ibiza SC 1.4 TDI Start&Stop Style (6P),3,66  (90),V,17515,,9550,8525,7525,,,,,
,Ibiza SC 1.4 TDI Start&Stop Style (6P),3,77  (105),V,18040,,9625,8600,8000,,,,,
Ibiza 1.0,(6P),5,55  (75),IV,12690,,8325,7425,6625,,,,,
,Ibiza 1.0 Start&Stop Reference (6P),5,55  (75),IV,13940,,9125,8150,7275,,,,,
,Ibiza 1.2 TSI Reference (6P),5,66  (90),IV,14690,,9150,8175,7300,,,,,
,Ibiza 1.0 EcoTSI Start&Stop Style (6P),5,70  (95),IV,16680,,10800,9650,8625,,,,,
,Ibiza 1.0 EcoTSI Start&Stop Style (6P),5,81  (110),IV,17430,,11200,10000,8950,,,,,
,Ibiza 1.4 TSI Start&Stop ACT FR (6P),5,110  (150),IV,21140,,13250,11800,10550,,,,,
,Ibiza 1.4 TDI Ecomotive Reference (6P),5,55  (75),V,16500,,8750,7725,6825,,,,,
,Ibiza 1.4 TDI Start&Stop Style (6P),5,66  (90),V,18215,,9850,8800,7775,,,,,
,Ibiza 1.4 TDI Start&Stop Style (6P),5,77  (105),V,18740,,9050,8075,7150,,,,,
,Ibiza ST 1.0  (6P),5,55  (75),IV,13490,,,7875,7050,,,,,
,Ibiza ST 1.0 Start&Stop Reference (6P),5,55  (75),IV,14740,,,8625,7700,,,,,
,Ibiza ST 1.2 TSI Reference (6P),5,66  (90),IV,15490,,,8625,7700,,,,,
,Ibiza ST 1.0 EcoTSI Start&Stop Style (6P),5,70  (95),IV,17480,,,10150,9050,,,,,
,Ibiza ST 1.0 EcoTSI Start&Stop Style (6P),5,81  (110),IV,18230,,,10500,9350,,,,,
,Ibiza ST 1.4 TSI Start&Stop ACT FR (6P),5,110  (150),IV,21940,,,12250,10950,,,,,
,Ibiza ST 1.4 TDI Ecomotive Reference (6P),5,55  (75),V,17300,,,8100,7150,,,,,
,Ibiza ST 1.4 TDI Start&Stop Style (6P),5,66  (90),V,19015,,,9175,8125,,,,,
,Ibiza ST 1.4 TDI Start&Stop Style (6P),5,77  (105),V,19540,,,8425,7450,,,,,
,Ibiza SC 1.8 TSI Start&Stop Cupra (6P) Cupra,3,141  (192),IV,23060,,14050,12550,11200,,,,,
,Ibiza 1.0 MPI  (KJ),5,48  (65),IV,12690,8475,7900,,,,,,,
,Ibiza 1.0 MPI Reference (KJ),5,55  (75),IV,14560,9700,9050,,,,,,,
,Ibiza 1.0 EcoTSI Reference (KJ),5,70  (95),IV,15515,10700,9550,,,,,,,
,Ibiza 1.0 EcoTSI Style (KJ),5,85  (115),IV,18450,12750,11600,,,,,,,
,Ibiza 1.0 TSI Style (KJ),5,85  (115),IV,18970,12750,,,,,,,,
,Ibiza 1.5 TSI Evo FR (KJ),5,110  (150),IV,21365,15300,13950,,,,,,,
,Ibiza 1.6 TDI Reference (KJ),5,59  (80),V,18155,11550,10750,,,,,,,
,Ibiza 1.6 TDI Style (KJ),5,70  (95),V,20595,13150,12250,,,,,,,
,Ibiza 1.6 TDI Style (KJ),5,85  (115),V,21495,14300,,,,,,,,
,Leon SC 1.2 TSI  (5F),3,63  (86),IV,14990,11150,9950,8900,,,,,,
,Leon SC 1.2 TSI Start&Stop Reference (5F),3,81  (110),IV,18700,,,10700,9850,9075,,,,
,Leon SC 1.0 TSI Ecomotive Reference (5F),3,85  (115),IV,19810,,,11000,10150,,,,,
,Leon SC 1.0 TSI Ecomotive Reference (5F),3,85  (115),IV,20250,14500,12950,11550,,,,,,
,Leon SC 1.4 TSI Start&Stop Style (5F),3,92  (125),IV,20940,,,11850,11150,10550,,,,
,Leon SC 1.4 TSI ACT Start&Stop Style (5F),3,110  (150),IV,21610,,,,11750,11250,,,,
,Leon SC 1.4 TSI ACT Start&Stop FR (5F),3,110  (150),IV,23800,,,13750,12800,12100,,,,
,Leon SC 1.8 TSI Start&Stop FR (5F),3,132  (180),IV,25070,18550,16600,14800,,,,,,
,Leon SC 1.6 TDI Ecomotive Reference (5F),3,81  (110),V,21900,,,,9650,8750,8050,,,
,Leon SC 1.6 TDI Start&Stop Style (5F),3,85  (115),V,24110,13650,12200,10900,,,,,,
,Leon SC 2.0 TDI Start&Stop FR (5F),3,110  (150),V,27170,16600,14800,13200,,,,,,
,Leon SC 2.0 TDI Start&Stop FR (5F),3,135  (184),V,28490,17550,15700,14000,,,,,,
,Leon 1.2 TSI  (5F),5,63  (86),IV,15490,,,,,7225,6825,6350,,
,Leon 1.2 TSI  (5F),5,63  (86),IV,15490,11050,9850,8800,,,,,,
,Leon 1.2 TSI Start&Stop Reference (5F),5,77  (105),IV,18240,,,,,8750,8150,7575,,
,Leon 1.2 TSI Start&Stop Reference (5F),5,81  (110),IV,19000,,,10450,9600,8975,,,,
,Leon 1.0 TSI Ecomotive Reference (5F),5,85  (115),IV,20110,,,11000,10100,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 135 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
SEAT,,,,,,,,,,,,,,
Leon 1.0 TSI Ecomotive Reference (5F),5,85  (115),IV,21050,14150,,,,,,,,,
Leon 1.0 TSI Reference (5F),5,85  (115),IV,20410,13450,,,,,,,,,
Leon 1.4 TSI Start&Stop Style (5F),5,90  (122),IV,20520,,,,,10350,9625,8900,,,
Leon 1.4 TSI Start&Stop Style (5F),5,92  (125),IV,21140,,,12250,11500,10900,,,,,
Leon 1.4 TSI Start&Stop Style (5F),5,103  (140),IV,21240,,,,,11100,10200,9475,,,
Leon 1.4 TSI ACT Start&Stop Style (5F),5,110  (150),IV,22110,,,,11900,11450,,,,,
Leon 1.4 TSI ACT Start&Stop Xcellence (5F),5,110  (150),IV,24950,16700,15550,14150,,,,,,,
Leon 1.8 TSI Start&Stop FR (5F),5,132  (180),IV,24190,,,,,,11850,11000,,,
Leon 1.8 TSI Start&Stop Xcellence (5F),5,132  (180),IV,28200,18300,16350,14600,,,,,,,
Leon 2.0 TSI Xcellence DSG  (5F),5,140  (190),IV,28200,18950,,,,,,,,,
Leon 1.6 TDI  (5F),5,66  (90),V,18450,,,,7875,7100,6525,5925,,,
Leon 1.6 TDI Start&Stop Reference (5F),5,77  (105),V,21160,,,,8900,8050,7425,6725,,,
Leon 1.6 TDI Ecomotive Reference (5F),5,81  (110),V,22400,,,,9925,8975,8100,,,,
Leon 1.6 TDI Start&Stop Reference (5F),5,81  (110),V,22050,,,10450,9800,,,,,,
Leon 1.6 TDI Reference (5F),5,85  (115),V,23540,13300,,,,,,,,,
Leon 1.6 TDI Start&Stop Reference (5F),5,85  (115),V,23200,13300,11900,10700,,,,,,,
Leon 2.0 TDI Start&Stop Style (5F),5,110  (150),V,24560,,,,11700,10750,9800,8875,,,
Leon 2.0 TDI Start&Stop Style (5F),5,110  (150),V,26180,15050,13400,12000,,,,,,,
Leon 2.0 TDI Start&Stop FR (5F),5,135  (184),V,27480,,,,13300,12300,11200,10100,,,
Leon 2.0 TDI Start&Stop Xcellence (5F),5,135  (184),V,31100,17900,16300,14550,,,,,,,
Leon 1.4 TGI Start&Stop Reference  (5F),5,81  (110),IV,21110,,,,10300,9800,,,,,
Leon 1.4 TGI Start&Stop Style  (5F),5,81  (110),IV,23650,15300,13650,12200,,,,,,,
Leon ST 1.2 TSI  (5F),5,63  (86),IV,16640,,,9075,8275,7925,,,,,
Leon ST 1.2 TSI  (5F),5,63  (86),IV,16640,11800,10500,9400,,,,,,,
Leon ST 1.2 TSI Start&Stop Reference (5F),5,77  (105),IV,19370,,,,,9300,8650,,,,
Leon ST 1.2 TSI Start&Stop Reference (5F),5,81  (110),IV,20200,,,11400,10500,9825,,,,,
Leon ST 1.0 TSI Ecomotive Reference (5F),5,85  (115),IV,21310,,,12150,11200,,,,,,
Leon ST 1.0 TSI Ecomotive Reference (5F),5,85  (115),IV,22250,15500,13800,12350,,,,,,,
Leon ST 1.0 TSI Reference (5F),5,85  (115),IV,21610,14750,,,,,,,,,
Leon ST 1.4 TSI Start&Stop Style (5F),5,90  (122),IV,21650,,,,,10900,10150,,,,
Leon X-PERIENCE 1.4 TSI Start&Stop  (5F),5,92  (125),IV,24590,,,14650,13750,,,,,,
Leon X-PERIENCE 1.4 TSI Start&Stop  (5F),5,92  (125),IV,24950,17500,15650,14550,,,,,,,
Leon ST 1.4 TSI Start&Stop Style (5F),5,92  (125),IV,22400,,,12950,12200,11500,,,,,
Leon ST 1.4 TSI Start&Stop Style (5F),5,103  (140),IV,22370,,,,,11700,10800,,,,
Leon ST 1.4 TSI ACT Start&Stop Style (5F),5,110  (150),IV,23700,,,13700,12750,12100,,,,,
Leon ST 1.4 TSI ACT Start&Stop Xcellence (5F),5,110  (150),IV,26150,17550,15650,14550,,,,,,,
Leon X-PERIENCE 1.8 TSI Start&Stop 4Drive DSG,5,132  (180),IV,31250,,,18750,17100,16050,,,,,
(5F),,,,,,,,,,,,,,
Leon X-PERIENCE 1.8 TSI Start&Stop 4Drive DSG,5,132  (180),IV,32850,22200,20200,18400,,,,,,,
(5F),,,,,,,,,,,,,,
Leon ST 1.8 TSI Start&Stop FR (5F),5,132  (180),IV,26150,,,15750,14500,13500,12550,,,,
Leon ST 1.8 TSI Start&Stop Xcellence (5F),5,132  (180),IV,29400,18700,17050,15500,,,,,,,
Leon ST 2.0 TSI Xcellence DSG  (5F),5,140  (190),IV,29400,20050,,,,,,,,,
Leon ST 1.6 TDI  (5F),5,66  (90),V,19600,,,,8375,7525,6950,,,,
Leon ST 1.6 TDI Start&Stop Reference (5F),5,77  (105),V,22290,,,,9375,8525,7850,,,,
Leon ST 1.6 TDI Start&Stop Reference 4Drive (5F),5,77  (105),V,24290,,,,10250,9275,,,,,
Leon X-PERIENCE 1.6 TDI Start&Stop  (5F),5,81  (110),V,27000,,,12500,11750,,,,,,
Leon X-PERIENCE 1.6 TDI Start&Stop 4Drive (5F),5,81  (110),V,29000,,,13500,12700,11600,,,,,
Leon ST 1.6 TDI Ecomotive Reference (5F),5,81  (110),V,23530,,,,10150,9175,8500,,,,
Leon ST 1.6 TDI Start&Stop Reference (5F),5,81  (110),V,23250,,,10650,9925,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,Seite: 136 von 171,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
,Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
SEAT,,,,,,,,,,,,,,
,Leon ST 1.6 TDI Start&Stop Reference 4Drive (5F),5,81  (110),V,25250,,,11550,10750,,,,,
,Leon X-PERIENCE 1.6 TDI Start&Stop  (5F),5,85  (115),V,28555,16400,14650,13050,,,,,,
,Leon ST 1.6 TDI Reference (5F),5,85  (115),V,24740,14050,,,,,,,,
,Leon ST 1.6 TDI Start&Stop Reference (5F),5,85  (115),V,24400,14000,12500,11150,,,,,,
,Leon X-PERIENCE 2.0 TDI Start&Stop 4Drive (5F),5,110  (150),V,30600,,,16250,14800,14250,,,,
,Leon X-PERIENCE 2.0 TDI Start&Stop 4Drive (5F),5,110  (150),V,33655,19400,17350,15500,,,,,,
,Leon ST 2.0 TDI Start&Stop Style (5F),5,110  (150),V,25690,,,,12000,11550,10550,,,
,Leon ST 2.0 TDI Start&Stop Style 4Drive (5F),5,110  (150),V,27690,,,,12950,12450,,,,
,Leon ST 2.0 TDI Start&Stop Style (5F),5,110  (150),V,27380,16050,14300,12800,,,,,,
,Leon ST 2.0 TDI Start&Stop Style 4Drive (5F),5,110  (150),V,31100,17250,15400,13750,,,,,,
,Leon X-PERIENCE 2.0 TDI Start&Stop 4Drive DSG,5,135  (184),V,34170,,,17250,16200,15350,,,,
(5F),,,,,,,,,,,,,,
,Leon X-PERIENCE 2.0 TDI Start&Stop 4Drive DSG,5,135  (184),V,35525,21900,19550,17450,,,,,,
(5F),,,,,,,,,,,,,,
,Leon ST 2.0 TDI Start&Stop FR (5F),5,135  (184),V,29370,,,15050,14150,13700,12700,,,
,Leon ST 2.0 TDI Start&Stop Xcellence (5F),5,135  (184),V,32300,19200,17150,15300,,,,,,
,Leon ST 1.4 TGI Start&Stop Reference  (5F),5,81  (110),IV,23290,,,12700,11500,10500,,,,
,Leon ST 1.4 TGI Start&Stop Style  (5F),5,81  (110),IV,24850,16600,14800,13200,,,,,,
,Leon SC Cupra 265  (5F) Cupra,3,195  (265),IV,31620,,,18000,16550,15500,,,,
,Leon SC Cupra 280  (5F) Cupra,3,206  (280),IV,32620,,,,18150,17050,,,,
,Leon SC Cupra 290  (5F) Cupra,3,213  (290),IV,33420,,,19650,18100,,,,,
,Leon SC Cupra 300  (5F) Cupra,3,221  (300),IV,34770,25200,22500,,,,,,,
,Leon Cupra 265  (5F) Cupra,5,195  (265),IV,31920,,,19350,17800,16700,,,,
,Leon Cupra 280  (5F) Cupra,5,206  (280),IV,33120,,,,18100,16950,,,,
,Leon Cupra 290  (5F) Cupra,5,213  (290),IV,33720,,,19400,17850,,,,,
,Leon Cupra 300  (5F) Cupra,5,221  (300),IV,35160,24750,22100,,,,,,,
,Leon Cupra R  (5F) Cupra,5,228  (310),IV,44980,32500,29050,,,,,,,
,Leon ST Cupra 265  (5F) Cupra,5,195  (265),IV,33120,,,20400,18800,,,,,
,Leon ST Cupra 280  (5F) Cupra,5,206  (280),IV,34250,,,,19050,,,,,
,Leon ST Cupra 290  (5F) Cupra,5,213  (290),IV,34920,,,20400,18800,,,,,
,Leon ST Cupra 300  (5F) Cupra,5,221  (300),IV,36360,25450,22700,,,,,,,
,Leon ST Cupra 300 4Drive DSG (5F) Cupra,5,221  (300),IV,40900,28050,25050,,,,,,,
Mii 1.0,(AA),3,44  (60),III,8990,,,,4800,4300,3800,3350,,
,Mii 1.0 Ecomotive Reference (AA),3,44  (60),III,9610,,,,5150,4600,4050,3625,,
,Mii 1.0 Reference (AA),3,55  (75),III,9810,,,,5250,4700,4150,3700,,
,Mii 1.0 Start&Stop Reference (AA),3,55  (75),III,10210,,,,5475,4875,4300,3850,,
,Mii 1.0 Ecofuel Ecomotive Style  (AA),3,50  (68),III,13035,,,,6775,6050,5350,4775,,
,Mii 1.0 Ecofuel Start&Stop Reference  (AA),3,50  (68),III,12160,,,,6325,5650,5000,4450,,
,Mii 1.0 Start&Stop Style (AA),5,44  (60),III,11460,8050,,,,,,,,
,Toledo 1.2  (NH),5,55  (75),IV,13990,,,,6475,5725,5150,,,
,Toledo 1.2 TSI Reference (NH),5,63  (85),IV,16320,,,,7650,6775,5875,,,
,Toledo 1.2 TSI  (NH),5,66  (90),IV,14990,,,7825,7175,,,,,
,Toledo 1.0 TSI Start&Stop Reference (NH),5,70  (95),IV,18640,12450,11100,,,,,,,
,Toledo 1.2 TSI Start&Stop Reference (NH),5,77  (105),IV,17620,,,,8350,7450,6400,,,
,Toledo 1.0 TSI Start&Stop Reference (NH),5,81  (110),IV,19720,13250,11850,,,,,,,
,Toledo 1.2 TSI Start&Stop Reference (NH),5,81  (110),IV,19290,,11450,10250,9350,,,,,
,Toledo 1.4 TSI Reference DSG (NH),5,90  (122),IV,19350,,,,9075,8350,7625,,,
,Toledo 1.4 TSI Start&Stop Style DSG (NH),5,92  (125),IV,23240,15300,13700,12200,11150,,,,,
,Toledo 1.4 TDI Start&Stop Reference (NH),5,66  (90),V,20290,,,9425,8775,,,,,
,Toledo 1.6 TDI Reference (NH),5,66  (90),V,18920,,,,8000,7150,6250,,,
,"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,Seite: 137 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
SEAT,,,,,,,,,,,,,,
Toledo 1.6 TDI Start&Stop Reference (NH),5,77  (105),V,19920,,,,8250,7300,6375,,,,
Toledo 1.6 TDI Start&Stop Style (NH),5,85  (116),V,24140,14250,12750,11350,9900,,,,,,
Skoda,,,,,,,,,,,,,,
Citigo 1.0 Easy (AA),3,44  (60),III,8890,,,,4975,4250,3800,3400,,,
Citigo 1.0 Green tec Active (AA),3,44  (60),III,10090,,,,5575,4800,4275,3825,,,
