Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
A3 Limousine 1.5 TFSI cod  (8V),4,110  (150),IV,28200,18400,16750,,,,,,,,
A3 Limousine 35 TFSI  (8V),4,110  (150),IV,28700,18750,,,,,,,,,
A3 Limousine 1.8 TFSI Attraction (8V),4,132  (180),IV,28950,,,16400,15050,14050,13200,,,,
A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),4,132  (180),IV,32800,,,18400,16900,15800,14750,,,,
A3 Limousine 2.0 TFSI sport quattro S tronic  (8V),4,140  (190),IV,36750,25000,22350,19950,,,,,,,
A3 Limousine 1.6 TDI Attraction (8V),4,77  (105),V,26300,,,,,10950,10200,,,,
A3 Limousine 1.6 TDI Attraction (8V),4,81  (110),V,27500,,,12550,11450,10600,,,,,
A3 Limousine 1.6 TDI ultra Attraction (8V),4,81  (110),V,27550,,,12700,11550,10700,,,,,
A3 Limousine 1.6 TDI  (8V),4,81  (110),V,27750,,14500,13050,,,,,,,
A3 Limousine 1.6 TDI  (8V),4,85  (116),V,29250,16650,14850,,,,,,,,
A3 Limousine 2.0 TDI Attraction (8V),4,110  (150),V,28100,,,,,12000,10800,,,,
A3 Limousine 2.0 TDI Attraction quattro (8V),4,110  (150),V,30050,,,,,12650,11350,,,,
A3 Limousine 2.0 TDI  (8V),4,110  (150),V,33450,19050,17000,15500,,,,,,,
A3 Limousine 2.0 TDI quattro (8V),4,110  (150),V,32650,20100,17950,16350,,,,,,,
A3 Limousine 35 TDI  (8V),4,110  (150),V,32000,19050,,,,,,,,,
A3 Limousine 2.0 TDI Attraction (8V),4,135  (184),V,31600,,,16200,14800,13800,,,,,
A3 Limousine 2.0 TDI Attraction quattro S Tronic (8V),4,135  (184),V,35450,,,17950,16450,15300,,,,,
A3 Limousine 2.0 TDI sport quattro S tronic (8V),4,135  (184),V,39200,25900,23150,20250,,,,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),2,85  (116),IV,29900,,,17300,,,,,,,
A3 Cabriolet 1.4 TFSI  (8V),2,85  (115),IV,32150,22250,19850,17750,,,,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),2,92  (125),IV,31400,,,17600,15750,14500,12950,,,,
A3 Cabriolet 1.4 TFSI cod Attraction (8V),2,103  (140),IV,31700,,,,,14800,13400,,,,
A3 Cabriolet 1.4 TFSI cod ultra  (8V),2,110  (150),IV,32700,,21650,18750,,,,,,,
A3 Cabriolet 1.5 TFSI cod  (8V),2,110  (150),IV,34100,24000,21450,,,,,,,,
A3 Cabriolet 35 TFSI cod  (8V),2,110  (150),IV,34600,24050,,,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 7 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
