Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
A3,2.0 TFSI sport quattro S tronic  (8V),3,140  (190),,III,34250,,,,22550,20100,,,
A3,1.6 TDI Attraction (8V),3,81  (110),,V,25700,,,,,12850,11800,10800,
A3,1.6 TDI  (8V),3,81  (110),,V,25950,,,,14550,12950,,,
A3,1.6 TDI  (8V),3,85  (116),,V,26650,,,,13900,,,,
A3,2.0 TDI  (8V),3,110  (150),,V,28850,,,,16700,14750,,,
A3,2.0 TDI quattro (8V),3,110  (150),,V,30850,,,,17850,15750,,,
A3,2.0 TDI Attraction (8V),3,135,-184,V,29800,,,,,15800,14050,12700,
A3,2.0 TDI Attraction quattro S tronic (8V),3,135,-184,V,33650,,,,,17800,15800,14600,
A3,2.0 TDI sport quattro S tronic (8V),3,135,-184,V,36600,,,,21150,18300,,,
,A3 Sportback 1.2 TFSI Attraction (8V),5,81  (110),,III,23700,,,,,14500,13450,12750,
,A3 Sportback 1.0 TFSI  (8V),5,85  (115),,III,25350,,,16600,15850,14400,,,
,A3 Sportback 30 TFSI  (8V),5,85  (115),,III,26027,20000,18950,17300,,,,,
,A3 Sportback 1.4 TFSI Attraction (8V),5,92  (125),,III,24600,,,,,15500,13950,13100,
,A3 Sportback 1.4 TFSI cod ultra Attraction (8V),5,110  (150),,III,25850,,,,,16800,15200,14200,
,A3 Sportback 1.4 TFSI cod ultra  (8V),5,110  (150),,III,25900,,,,17900,16400,,,
,A3 Sportback 1.5 TFSI cod  (8V),5,110  (150),,III,27300,,,17700,16250,,,,
,A3 Sportback 35 TFSI  (8V),5,110  (150),,III,27099,21650,20150,18100,,,,,
,A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),5,132,-180,III,31900,,,,,20650,18750,17650,
,A3 Sportback 2.0 TFSI sport quattro S tronic  (8V),5,140  (190),,III,35850,,27400,27100,23400,21700,,,
,A3 Sportback 40 TFSI sport quattro S tronic  (8V),5,140  (190),,III,35433,29950,27800,,,,,,
,A3 Sportback 1.6 TDI Attraction (8V),5,81  (110),,V,26600,,,,,14450,12750,11600,
,A3 Sportback 1.6 TDI  (8V),5,81  (110),,V,26850,,,,15650,14250,,,
,A3 Sportback 1.6 TDI  (8V),5,85  (116),,V,28350,,,16100,15150,,,,
,A3 Sportback 30 TDI  (8V),5,85  (116),,V,29049,19600,17400,16150,,,,,
,A3 Sportback 2.0 TDI  (8V),5,110  (150),,V,32550,,,18650,17500,15800,,,
,A3 Sportback 2.0 TDI quattro (8V),5,110  (150),,V,31750,,,19700,18650,16800,,,
,A3 Sportback 35 TDI  (8V),5,110  (150),,V,30315,21450,20350,19050,,,,,
,A3 Sportback 2.0 TDI Attraction (8V),5,135,-184,V,30700,,,,,16500,14650,13350,
,A3 Sportback 2.0 TDI Attraction quattro S tronic (8V),5,135,-184,V,34550,,,,,18550,16450,15300,
,A3 Sportback 2.0 TDI sport quattro S tronic (8V),5,135,-184,V,38300,,27150,25800,24000,21200,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 6 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Audi,,,,,,,,,,,,,,
A3 Sportback g-tron Attraction  (8V),5,81  (110),,III,26800,,,,,16350,14850,13800,,
A3 Sportback g-tron  (8V),5,81  (110),,III,27550,,,19500,17900,15900,,,,
A3 Sportback 30 g-tron S tronic  (8V),5,96  (131),,III,29828,24250,22050,,,,,,,
A3 Sportback e-tron Attraction S tronic (8V),5,150,-204,III,38400,,,,,19000,17150,15900,,
A3 Sportback 40 e-tron S tronic (8V),5,150,-204,III,37900,,,22200,18400,18100,,,,
A3 Limousine 1.0 TFSI  (8V),4,85  (115),,III,26250,,,16950,15900,14150,,,,
A3 Limousine 1.4 TFSI Attraction (8V),4,92  (125),,III,25500,,,,,15350,14000,13100,,
A3 Limousine 1.4 TFSI cod ultra Attraction (8V),4,110  (150),,III,32650,,,,,19700,17800,16100,,
A3 Limousine 1.4 TFSI cod ultra  (8V),4,110  (150),,III,26800,,,,18150,16500,,,,
A3 Limousine 1.5 TFSI cod  (8V),4,110  (150),,III,28200,,,18200,16650,,,,,
A3 Limousine 35 TFSI  (8V),4,110  (150),,III,27977,21750,20250,18550,,,,,,
A3 Limousine 1.8 TFSI Attraction (8V),4,132,-180,III,28950,,,,,18650,16950,15850,,
A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),4,132,-180,III,32800,,,,,20900,19000,17850,,
