,adult_points,adult_percentage,child_points,child_percentage,road users_points,road users_percentage,assist_points,assist_percentage,total_points,URL,name,stars,id,YEAR
251,34.0,89.0,43.0,87.0,41.3,76.0,14.1,88.0,132.4,https://www.euroncap.com/en/results/genesis/g70/44199,Genesis G70,5,44199,2021
17,34.7,91.0,44.3,90.0,38.2,70.0,15.2,95.0,132.4,https://www.euroncap.com/en/results/nissan/x%2520trail/47772,Nissan X-Trail,5,47772,2021
250,33.0,86.0,43.9,89.0,40.4,74.0,15.0,93.0,132.3,https://www.euroncap.com/en/results/nissan/ariya/47755,Nissan Ariya,5,47755,2022
91,35.5,93.0,44.0,89.0,39.9,73.0,12.8,80.0,132.20000000000002,https://www.euroncap.com/en/results/cupra/born/46243,Cupra Born,5,46243,2022
81,37.1,97.0,42.8,87.0,42.0,87.0,10.0,76.0,131.9,https://www.euroncap.com/en/results/bmw/3%2520series/38531,BMW 3 series,5,38531,2019
13,36.0,94.0,44.0,89.0,38.3,71.0,13.2,82.0,131.5,https://www.euroncap.com/en/results/skoda/enyaq%2520iv/42455,Skoda ENYAQ iV,5,42455,2021
212,36.8,96.0,42.9,87.0,38.7,71.0,13.1,81.0,131.5,https://www.euroncap.com/en/results/lynk%2520%26%2520co/01/43498,Lynk & Co 01,5,43498,2021
233,34.7,91.0,43.0,87.0,43.7,90.0,10.1,77.0,131.5,https://www.euroncap.com/en/results/lexus/es/33733,Lexus ES,5,33733,2018
317,35.3,92.0,44.0,89.0,37.9,70.0,14.2,89.0,131.39999999999998,https://www.euroncap.com/en/results/volvo/c40%2520recharge/45878,Volvo C40 Recharge,5,45878,2022
126,33.7,88.0,40.0,81.0,42.8,79.0,14.8,92.0,131.3,https://www.euroncap.com/en/results/bmw/2%2Bseries%2Bactive%2Btourer/47127,BMW 2 Series Active Tourer,5,47127,2022
305,35.3,92.0,40.8,83.0,40.0,74.0,15.0,93.0,131.1,https://www.euroncap.com/en/results/ora/funky%2520cat/46613,ORA Funky Cat,5,46613,2022
44,37.1,97.0,45.0,91.0,38.5,80.0,10.2,78.0,130.79999999999998,https://www.euroncap.com/en/results/subaru/forester/39138,Subaru Forester,5,39138,2019
114,36.8,96.0,39.6,80.0,44.8,93.0,9.5,72.0,130.7,https://www.euroncap.com/en/results/bmw/4%2Bseries%2Bconvertible/42775,BMW 4 Series Convertible,5,42775,2019
93,37.0,97.0,44.5,90.0,39.3,81.0,9.8,75.0,130.6,https://www.euroncap.com/en/results/mercedes-benz/eqa/43187,Mercedes-EQ EQA,5,43187,2019
300,34.7,91.0,43.0,87.0,39.9,73.0,13.0,81.0,130.6,https://www.euroncap.com/en/results/bmw/ix/44196,BMW iX,5,44196,2021
163,37.0,97.0,43.0,87.0,36.0,66.0,14.4,90.0,130.4,https://www.euroncap.com/en/results/hyundai/ioniq%25206/47747,Hyundai IONIQ 6,5,47747,2022
95,33.3,87.0,44.0,89.0,38.8,71.0,14.2,88.0,130.29999999999998,https://www.euroncap.com/en/results/vw/id.3/41119,Volkswagen ID.3,5,41119,2020
343,34.7,91.0,41.2,84.0,41.4,76.0,12.7,79.0,130.0,https://www.euroncap.com/en/results/kia/niro/46607,Kia Niro,5,46607,2022
226,33.1,87.0,41.1,83.0,43.4,80.0,12.3,76.0,129.9,https://www.euroncap.com/en/results/honda/jazz/41212,Honda JAZZ,5,41212,2020
71,33.0,86.0,41.3,84.0,42.6,78.0,13.0,81.0,129.9,https://www.euroncap.com/en/results/toyota/yaris%2520cross/43819,Toyota Yaris Cross,5,43819,2021
92,32.0,84.0,44.2,90.0,40.0,74.0,13.6,84.0,129.8,https://www.euroncap.com/en/results/ford/ranger/48750,Ford Ranger,5,48750,2022
73,32.0,84.0,44.2,90.0,40.0,74.0,13.6,84.0,129.8,https://www.euroncap.com/en/results/vw/amarok/48758,Volkswagen Amarok,5,48758,2022
286,33.7,88.0,42.9,87.0,40.0,74.0,13.2,82.0,129.79999999999998,https://www.euroncap.com/en/results/vw/golf/47140,Volkswagen Golf,5,47140,2022
299,35.0,92.0,43.4,88.0,38.5,71.0,12.8,80.0,129.70000000000002,https://www.euroncap.com/en/results/seat/leon/41397,SEAT Leon,5,41397,2020
128,34.9,91.0,43.4,88.0,38.5,71.0,12.8,80.0,129.6,https://www.euroncap.com/en/results/cupra/leon/43180,CUPRA Leon,5,43180,2020
42,34.2,90.0,44.0,89.0,37.3,69.0,14.1,87.0,129.6,https://www.euroncap.com/en/results/vw/multivan/45881,VW Multivan,5,45881,2022
331,35.7,93.0,42.8,87.0,40.9,85.0,10.1,77.0,129.5,https://www.euroncap.com/en/results/toyota/rav4/35881,Toyota RAV4,5,35881,2019
62,37.1,97.0,42.9,87.0,39.2,81.0,10.0,76.0,129.2,https://www.euroncap.com/en/results/skoda/scala/37576,Skoda Scala,5,37576,2019
329,37.5,98.0,43.0,87.0,39.2,81.0,9.5,73.0,129.2,https://www.euroncap.com/en/results/mazda/3/35876,Mazda 3,5,35876,2019
349,36.1,95.0,41.6,84.0,41.4,86.0,10.1,77.0,129.2,https://www.euroncap.com/en/results/toyota/corolla/35878,Toyota Corolla,5,35878,2019
100,33.0,86.0,40.0,81.0,42.3,78.0,13.7,85.0,129.0,https://www.euroncap.com/en/results/toyota/yaris/40747,Toyota Yaris,5,40747,2020
237,33.0,86.0,40.0,81.0,42.3,78.0,13.7,85.0,129.0,https://www.euroncap.com/en/results/mazda/2/44201,Mazda 2 Hybrid,5,44201,2020
270,35.6,93.0,43.6,88.0,36.9,68.0,12.8,80.0,128.9,https://www.euroncap.com/en/results/cupra/formentor/42254,Cupra Formentor,5,42254,2021
148,36.6,96.0,44.5,90.0,37.9,79.0,9.8,75.0,128.8,https://www.euroncap.com/en/results/mercedes-benz/gla-class/43185,Mercedes-Benz GLA,5,43185,2019
99,35.7,93.0,44.0,89.0,36.1,66.0,12.8,80.0,128.60000000000002,https://www.euroncap.com/en/results/audi/q4%2Be-tron/43490,Audi Q4 e-tron,5,43490,2021
90,32.6,85.0,42.4,86.0,40.4,74.0,13.2,82.0,128.6,https://www.euroncap.com/en/results/ds/4/45696,DS 4,5,45696,2022
350,36.6,96.0,44.5,90.0,37.7,78.0,9.8,75.0,128.6,https://www.euroncap.com/en/results/mercedes-benz/b-class/37570,Mercedes-Benz B-Class,5,37570,2019
77,36.9,97.0,42.4,86.0,38.9,81.0,10.4,80.0,128.6,https://www.euroncap.com/en/results/vw/t-cross/35883,VW T-Cross,5,35883,2019
204,37.6,99.0,42.2,86.0,38.7,80.0,10.0,77.0,128.5,https://www.euroncap.com/en/results/mazda/cx-30/38857,Mazda CX-30,5,38857,2019
245,36.4,95.0,44.8,91.0,37.5,78.0,9.7,74.0,128.39999999999998,https://www.euroncap.com/en/results/mercedes-benz/eqb/44202,Mercedes-EQ EQB,5,44202,2019
312,36.7,96.0,42.1,85.0,39.4,82.0,10.1,77.0,128.3,https://www.euroncap.com/en/results/lexus/ux/35875,Lexus UX,5,35875,2019
98,32.2,84.0,43.7,89.0,38.7,71.0,13.7,85.0,128.3,https://www.euroncap.com/en/results/land%2Brover/discovery%2Bsport/48752,Land Rover Discovery Sport,5,48752,2022
57,34.7,91.0,44.0,89.0,37.5,69.0,12.0,74.0,128.2,https://www.euroncap.com/en/results/byd/atto%2B3/46635,BYD ATTO 3,5,46635,2022
121,35.2,92.0,42.5,86.0,37.3,69.0,13.2,82.0,128.2,https://www.euroncap.com/en/results/ford/mustang%2520mach-e/43812,Ford Mustang Mach-E,5,43812,2021
284,34.9,91.0,43.0,87.0,36.0,66.0,14.2,88.0,128.1,https://www.euroncap.com/en/results/genesis/gv80/42796,Genesis GV80,5,42796,2021
67,32.1,84.0,43.0,87.0,39.1,72.0,13.2,82.0,127.39999999999999,https://www.euroncap.com/en/results/land%2520rover/range%2520rover/47130,Land Rover Range Rover,5,47130,2022
154,35.9,94.0,41.2,84.0,38.8,71.0,11.4,70.0,127.3,https://www.euroncap.com/en/results/vw/taigo/45238,Volkswagen Taigo,5,45238,2022
9,36.3,95.0,44.0,89.0,36.8,76.0,10.2,78.0,127.3,https://www.euroncap.com/en/results/vw/golf/39844,Volkswagen Golf,5,39844,2019
208,33.4,87.0,42.7,87.0,37.0,68.0,14.2,88.0,127.3,https://www.euroncap.com/en/results/chery/omoda5/47166,CHERY OMODA5,5,47166,2022
66,34.9,91.0,44.2,90.0,37.8,78.0,10.2,78.0,127.1,https://www.euroncap.com/en/results/mercedes-benz/gle/37569,Mercedes-Benz GLE,5,37569,2019
64,31.5,82.0,41.5,84.0,39.3,72.0,14.8,92.0,127.1,https://www.euroncap.com/en/results/nio/es8/43499,NIO ES8,5,43499,2021
16,36.7,96.0,41.9,85.0,38.4,80.0,10.0,76.0,127.0,https://www.euroncap.com/en/results/skoda/kamiq/38097,Škoda Kamiq,5,38097,2019
157,36.7,96.0,42.3,86.0,35.7,74.0,12.3,94.0,127.0,https://www.euroncap.com/en/results/tesla/model%25203/37573,Tesla Model 3,5,37573,2019
351,37.1,97.0,41.6,84.0,38.0,79.0,10.3,79.0,127.0,https://www.euroncap.com/en/results/seat/tarraco/34836,Seat Tarraco,5,34836,2019
203,35.2,92.0,42.6,86.0,39.6,82.0,9.5,73.0,126.9,https://www.euroncap.com/en/results/ford/kuga/39116,Ford Kuga,5,39116,2019
141,36.6,96.0,44.1,90.0,36.2,75.0,9.9,75.0,126.80000000000001,https://www.euroncap.com/en/results/mercedes-benz/eqc/38095,Mercedes-EQ EQC,5,38095,2019
306,36.0,94.0,42.1,85.0,39.0,81.0,9.6,73.0,126.69999999999999,https://www.euroncap.com/en/results/nissan/juke/39679,Nissan Juke,5,39679,2019
72,36.2,95.0,42.5,86.0,36.7,76.0,11.1,85.0,126.5,https://www.euroncap.com/en/results/audi/q3/34189,Audi Q3,5,34189,2018
101,35.5,93.0,41.9,85.0,38.9,81.0,9.9,76.0,126.20000000000002,https://www.euroncap.com/en/results/audi/a6/33445,Audi A6,5,33445,2018
210,35.5,93.0,41.9,85.0,38.9,81.0,9.9,76.0,126.20000000000002,https://www.euroncap.com/en/results/audi/a7/38530,Audi A7,5,38530,2018
227,34.7,91.0,41.2,84.0,40.6,75.0,9.7,60.0,126.2,https://www.euroncap.com/en/results/kia/niro/46606,Kia Niro,4,46606,2022
194,34.6,91.0,42.8,87.0,37.0,68.0,11.8,73.0,126.2,https://www.euroncap.com/en/results/mazda/mx-30/41214,Mazda MX-30,5,41214,2020
155,33.0,86.0,42.2,86.0,37.6,69.0,13.3,83.0,126.10000000000001,https://www.euroncap.com/en/results/isuzu/d-max/47129,ISUZU D-Max Crew Cab,5,47129,2022
333,33.6,88.0,40.7,83.0,37.7,69.0,13.9,87.0,125.90000000000002,https://www.euroncap.com/en/results/renault/austral/46615,Renault Austral,5,46615,2022
